label,a_mm,b_mm,n_turns,n_total,tape_km,I_quench_A,I_op_A,binding,B_target_T,uniformity_pct,uniformity_noscif_pct,scif_mT,J_amp_max,J_amp_mean,frac_unpen,hoop_MPa,delam_MPa,delam_scr_MPa,peak_B_T,fem_dev_pct,clip_frac,ok_unif,ok_clip,PASS,eval_s
a=45 b=80 nt=2950,45.0,80.0,"[500, 500, 500, 400, 400, 400, 250]",2950,1.2900933989741004,390.01654062892317,129.02693966836753,delam-scr,5.596318832660191,0.17197673551521225,0.20719371148375892,111.22489392044092,15.193884678994232,7.379825294055284,0.1296725107509097,95.5357891538085,6.0,30.000000000000004,7.217819996784635,5.455805549270464,0.0,True,True,True,12.77030634880066
a=45 b=80 nt=2750,45.0,80.0,"[550, 550, 500, 400, 400, 250, 100]",2750,1.2249833357535707,394.99015609766616,132.35292843893598,delam-scr,5.461861415910638,0.19060136036622105,0.21582925667714944,134.59262075618489,14.798118301079649,7.101327898357816,0.1258191349934469,92.33942887169971,6.0,30.0,7.2018219240391,5.630330094393657,0.0,True,True,True,9.164361953735352
a=50 b=80 nt=2750,50.0,80.0,"[550, 550, 500, 400, 400, 250, 100]",2750,1.2563771337272902,395.9228518604387,134.44248426183395,delam-scr,5.399433646433539,0.22346635815354882,0.22572812833228975,133.07860467663855,14.204355315215427,6.978732848923219,0.12545787545787546,107.71579410107954,5.999999999999998,29.999999999999996,7.077513439730269,6.010468268773328,0.0,True,True,True,9.123324394226074
a=45 b=80 nt=2650,45.0,80.0,"[500, 500, 500, 400, 400, 250, 100]",2650,1.163270397327176,391.1420461134136,135.23828284491825,delam-scr,5.3952861609448055,0.1902320220886255,0.2134512345457347,112.47285115736398,14.518927408294378,7.002262072194034,0.1256140350877193,95.45268976213457,5.999999999999997,29.999999999999993,7.104596920717048,5.334571963517472,0.0,True,True,True,12.267479181289673
a=50 b=80 nt=2950,50.0,80.0,"[500, 500, 500, 400, 400, 400, 250]",2950,1.3237703822549993,389.6717269076333,127.33379049405553,delam-scr,5.375737351536109,0.1926194259623827,0.18012558249650948,125.40723267313358,15.441940058814307,7.537377608978059,0.13415384615384615,103.70904381607924,5.999999999999999,29.999999999999996,6.974770367390073,5.878970139139869,0.0,True,True,True,14.13435697555542
a=45 b=80 nt=2750,45.0,80.0,"[500, 500, 500, 500, 400, 250, 100]",2750,1.1961199532487148,392.08927077496566,129.581027638068,delam-scr,5.342316409733638,0.1834224570269462,0.2218790797659803,132.7151245367106,15.127604439252506,7.402827516926691,0.1288300835654596,87.08105807455694,5.999999999999999,30.0,6.9998527116593205,5.366857418856989,0.0,True,True,True,10.745527744293213
a=50 b=80 nt=2750,50.0,80.0,"[500, 500, 500, 500, 400, 250, 100]",2750,1.227513751222434,390.0059229708905,130.2141380981651,delam-scr,5.239307324316007,0.20070531474429693,0.19416310076116342,128.37878059459635,15.154330510328036,7.3442485483982685,0.12921705919796309,99.30361018033484,6.0,30.0,6.823022900111764,5.685541167001435,0.0,True,True,True,13.41139030456543
a=50 b=80 nt=2650,50.0,80.0,"[500, 500, 500, 400, 400, 250, 100]",2650,1.1935226026473054,389.69776101733044,132.38260287529067,delam-scr,5.128748144619345,0.21445416953389027,0.2121538849030079,123.59781575180122,14.901403835636225,7.236470407702037,0.13985108449336356,101.57118373792187,6.000000000000001,30.000000000000004,6.733143505423552,5.797618623185979,0.0,True,True,True,12.932260513305664
a=55 b=80 nt=2950,55.0,80.0,"[500, 500, 500, 400, 400, 400, 250]",2950,1.357447365535898,389.9278562958852,123.7225313449248,delam-scr,5.085500471611319,0.22435362441216947,0.22374981128009536,133.02018399467306,15.84025475523958,7.8574293383207054,0.1405487804878049,106.60972755216697,6.0,30.0,6.590293893187448,6.481026998872758,0.0,True,True,True,10.991830110549927
a=55 b=80 nt=2750,55.0,80.0,"[550, 550, 500, 400, 400, 250, 100]",2750,1.2877709317010098,392.7982354261883,129.15552844553557,delam-scr,5.042136105570235,0.2548865511469128,0.27019282894506624,132.18885469675473,15.308780053147432,7.460988213598187,0.1353811149032992,107.81712551085906,6.0,29.999999999999996,6.6500694139150545,6.366790819865999,0.0,True,True,True,10.942925930023193
a=55 b=80 nt=2750,55.0,80.0,"[500, 500, 500, 500, 400, 250, 100]",2750,1.2589075491961532,391.89532210056103,128.27972504685718,delam-scr,5.028326152699697,0.23712333159110077,0.24107694432861504,128.74400609993648,15.337458430427898,7.480405176760993,0.12407585985213758,108.53510245153988,5.999999999999997,29.99999999999999,6.584399882540825,6.279674683525253,0.0,True,True,True,11.772382259368896
a=55 b=80 nt=2650,55.0,80.0,"[500, 500, 500, 400, 400, 250, 100]",2650,1.2237748079674349,394.67309513568813,129.77012095914696,delam-scr,4.894355340688825,0.24994704960836978,0.25640275108860494,122.28418962639776,15.220313711817363,7.428002450384601,0.13387358184764991,106.55375083334846,6.000000000000001,30.000000000000004,6.4644048277364226,6.387378750745554,0.0,True,True,True,12.546517848968506
