Starting CMA-ES: 9 variables, budget 400 evaluations, target B >= 10.0 T, uniformity <= 1.0%, hoop <= 400 MPa, coil-coil face gap >= 3 mm

Parallel mode: 6 worker processes per generation.
  [   1] INFEAS f=29410.273  a=17.7 b=15.9 gap=14.0 (face=3.9mm) n=[804, 172, 214, 218, 588, 163]  no evaluation (geometry pre-check)
  [   2] INFEAS f=51473.554  a=-3.3 b=14.1 gap=16.2 (face=8.3mm) n=[60, 329, 279, 196, 375, 234]  no evaluation (geometry pre-check)
  [   3] INFEAS f=11577.686  a=12.6 b=14.8 gap=13.6 (face=3.3mm) n=[103, 275, 253, 512, 220, 226]  no evaluation (geometry pre-check)
  [   4] INFEAS f=9347.756  a=25.5 b=16.7 gap=23.6 (face=23.1mm) n=[222, 85, 671, 250, 202, 120]  no evaluation (geometry pre-check)
  [   5] INFEAS f=38706.431  a=-3.1 b=23.2 gap=25.7 (face=27.5mm) n=[302, 66, 259, 82, 54, 259]  no evaluation (geometry pre-check)
  [   6] INFEAS f=106983.984  a=-1.0 b=21.4 gap=16.6 (face=9.1mm) n=[682, 218, 289, 710, 123, 661]  no evaluation (geometry pre-check)
  [   7] INFEAS f=32739.152  a=13.8 b=25.0 gap=15.6 (face=7.2mm) n=[739, 305, 350, 183, 482, 488]  no evaluation (geometry pre-check)
  [   8] INFEAS f=15085.899  a=9.7 b=3.7 gap=13.8 (face=3.6mm) n=[352, 232, 127, 171, 421, 318]  no evaluation (geometry pre-check)
  [   9] INFEAS f=1348.834  a=15.4 b=20.5 gap=13.9 (face=3.7mm) n=[116, 170, 379, 207, 367, 345]  no evaluation (geometry pre-check)
  [  10] INFEAS f=12416.106  a=12.4 b=8.5 gap=13.5 (face=3.0mm) n=[471, 278, 125, 453, 426, 481]  no evaluation (geometry pre-check)
  [  11] INFEAS f=1187.282  a=18.8 b=39.4 gap=17.6 (face=11.2mm) n=[361, 456, 415, 298, 231, 68]  no evaluation (geometry pre-check)
  [  12] INFEAS f=28385.567  a=11.4 b=7.7 gap=13.5 (face=3.0mm) n=[278, 619, 475, 574, 115, 67]  no evaluation (geometry pre-check)
  [  13] INFEAS f=4333.040  a=21.1 b=17.0 gap=18.2 (face=12.4mm) n=[185, 248, 273, 118, 477, 119]  no evaluation (geometry pre-check)
  [  14] INFEAS f=2866.982  a=22.3 b=20.7 gap=13.7 (face=3.4mm) n=[336, 221, 500, 91, 545, 380]  no evaluation (geometry pre-check)
  [  15] viol   f= 502.991  a=22.2 b=33.3 gap=15.5 (face=7.1mm) n=[105, 67, 358, 271, 170, 325]  tape=0.265km B=7.28T unif=2.562% hoop=89MPa
  [  16] INFEAS f=12238.259  a=6.9 b=27.9 gap=15.0 (face=6.0mm) n=[72, 110, 371, 291, 358, 52]  no evaluation (geometry pre-check)
  [  17] INFEAS f=1069.101  a=20.0 b=27.0 gap=15.4 (face=6.8mm) n=[474, 170, 265, 164, 228, 163]  no evaluation (geometry pre-check)
