Temperature (K),Applied field (T),Applied field angle (°),𝘯-value
19.99,0,0,27.71
19.99,0,5,27.72
19.99,0,10,27.85
19.99,0,15,27.88
19.99,0,20,27.75
19.99,0,25,27.91
19.99,0,30,27.86
19.99,0,35,27.86
19.99,0,40,27.66
19.98,0,45,27.81
19.98,0,50,27.75
19.98,0,55,27.6
19.99,0,60,27.71
19.98,0,65,27.81
19.99,0,70,27.91
19.98,0,75,27.76
19.98,0,78,27.81
19.99,0,81,27.76
19.98,0,84,28.05
19.98,0,86,27.72
19.98,0,88,27.97
19.98,0,90,27.75
19.99,0,92,28.1
19.99,0,94,27.91
19.98,0,96,27.69
19.98,0,99,27.9
19.98,0,102,27.74
19.99,0,105,27.81
19.98,0,110,27.72
19.98,0,115,27.86
19.99,0,120,27.98
19.98,0,125,27.82
19.98,0,130,27.82
19.99,0,135,27.69
19.99,0,140,27.93
19.98,0,145,27.86
19.99,0,150,27.93
19.99,0,155,27.84
19.99,0,160,27.81
19.98,0,165,28.03
19.98,0,170,27.89
19.99,0,175,28.12
19.99,0,180,27.94
19.98,0,185,27.97
19.98,0,190,27.66
19.99,0,195,27.55
19.99,0,200,27.74
19.99,0,205,27.91
19.98,0,210,27.75
19.99,0,215,27.92
19.99,0,220,27.87
19.99,0,225,27.78
19.98,0,230,27.84
19.99,0,235,27.72
19.99,0,240,28.04
19.99,0.01,0,27.83
19.99,0.01,5,27.54
19.99,0.01,10,27.83
19.99,0.01,15,27.77
19.99,0.01,20,27.78
19.99,0.01,25,27.77
19.99,0.01,30,27.8
19.99,0.01,35,27.64
19.99,0.01,40,27.81
19.98,0.01,45,27.67
19.99,0.01,50,27.86
19.98,0.01,55,27.98
19.98,0.01,60,27.78
19.98,0.01,65,27.75
19.99,0.01,70,27.89
19.98,0.01,75,27.77
19.98,0.01,78,27.84
19.99,0.01,81,27.65
19.98,0.01,84,27.51
19.98,0.01,86,27.87
19.99,0.01,88,27.62
19.98,0.01,90,27.9
19.98,0.01,92,27.63
19.98,0.01,94,27.86
19.98,0.01,96,27.84
19.99,0.01,99,27.75
19.98,0.01,102,27.93
19.98,0.01,105,27.99
19.99,0.01,110,27.75
19.98,0.01,115,27.8
19.98,0.01,120,27.84
19.99,0.01,125,27.99
19.99,0.01,130,27.77
19.99,0.01,135,27.85
19.98,0.01,140,27.91
19.99,0.01,145,27.56
19.98,0.01,150,27.61
19.98,0.01,155,27.8
19.99,0.01,160,28.02
19.99,0.01,165,27.99
19.99,0.01,170,27.88
19.98,0.01,175,27.78
19.99,0.01,180,27.69
19.99,0.01,185,27.84
19.99,0.01,190,27.74
19.98,0.01,195,27.78
19.99,0.01,200,27.95
19.99,0.01,205,27.74
19.99,0.01,210,27.87
19.99,0.01,215,27.7
19.98,0.01,220,27.71
19.99,0.01,225,27.93
19.99,0.01,230,27.88
19.99,0.01,235,27.77
19.99,0.01,240,27.59
19.98,0.015,0,27.92
19.99,0.015,5,27.85
19.99,0.015,10,27.72
19.99,0.015,15,27.64
19.99,0.015,20,28.08
19.99,0.015,25,27.91
19.99,0.015,30,27.55
19.99,0.015,35,27.78
19.99,0.015,40,27.79
19.98,0.015,45,27.74
19.99,0.015,50,27.78
19.98,0.015,55,27.66
19.99,0.015,60,27.89
19.99,0.015,65,27.82
19.98,0.015,70,27.92
19.98,0.015,75,27.78
19.99,0.015,78,27.82
19.99,0.015,81,27.86
19.99,0.015,84,27.96
19.98,0.015,86,27.66
19.98,0.015,88,27.67
19.98,0.015,90,27.76
19.99,0.015,92,27.86
19.98,0.015,94,27.58
19.98,0.015,96,27.58
19.99,0.015,99,27.93
19.98,0.015,102,27.77
19.98,0.015,105,27.82
19.98,0.015,110,27.59
19.99,0.015,115,27.69
19.98,0.015,120,27.86
19.98,0.015,125,27.83
19.99,0.015,130,27.85
19.99,0.015,135,27.91
