Temperature (K),Applied field (T),Applied field angle (°),Critical current per cm width (A/cm)
19.99,0,0,4940.09
19.99,0,5,4941.69
19.99,0,10,4943.09
19.99,0,15,4943.79
19.99,0,20,4941.8
19.99,0,25,4944.3
19.99,0,30,4943.04
19.99,0,35,4943.68
19.99,0,40,4940.79
19.98,0,45,4941.96
19.98,0,50,4941.92
19.98,0,55,4938.38
19.99,0,60,4940.93
19.98,0,65,4942.02
19.99,0,70,4943.9
19.98,0,75,4942.15
19.98,0,78,4942.58
19.99,0,81,4941.18
19.98,0,84,4945.75
19.98,0,86,4940.88
19.98,0,88,4945.32
19.98,0,90,4941.91
19.99,0,92,4947.35
19.99,0,94,4942.51
19.98,0,96,4940.63
19.98,0,99,4943.78
19.98,0,102,4941.26
19.99,0,105,4942.31
19.98,0,110,4941.65
19.98,0,115,4943.18
19.99,0,120,4945.04
19.98,0,125,4943.45
19.98,0,130,4943.57
19.99,0,135,4941.03
19.99,0,140,4942.9
19.98,0,145,4944.01
19.99,0,150,4945.09
19.99,0,155,4943.15
19.99,0,160,4942.69
19.98,0,165,4946.72
19.98,0,170,4943.93
19.99,0,175,4947.23
19.99,0,180,4943.84
19.98,0,185,4945.58
19.98,0,190,4940.57
19.99,0,195,4939.36
19.99,0,200,4940.89
19.99,0,205,4944.87
19.98,0,210,4942.33
19.99,0,215,4945.91
19.99,0,220,4943.7
19.99,0,225,4941.77
19.98,0,230,4943.44
19.99,0,235,4941.57
19.99,0,240,4945.91
19.99,0.01,0,4942.95
19.99,0.01,5,4938.18
19.99,0.01,10,4942.91
19.99,0.01,15,4941.41
19.99,0.01,20,4942.41
19.99,0.01,25,4942.03
19.99,0.01,30,4941.99
19.99,0.01,35,4939.69
19.99,0.01,40,4942.53
19.98,0.01,45,4940.7
19.99,0.01,50,4943.39
19.98,0.01,55,4945.13
19.98,0.01,60,4941.43
19.98,0.01,65,4941.58
19.99,0.01,70,4943.39
19.98,0.01,75,4941.22
19.98,0.01,78,4942.94
19.99,0.01,81,4939.5
19.98,0.01,84,4937.42
19.98,0.01,86,4942.95
19.99,0.01,88,4939.15
19.98,0.01,90,4942.96
19.98,0.01,92,4940.13
19.98,0.01,94,4943.5
19.98,0.01,96,4942.89
19.99,0.01,99,4940.76
19.98,0.01,102,4944.51
19.98,0.01,105,4945.35
19.99,0.01,110,4939.71
19.98,0.01,115,4942.51
19.98,0.01,120,4942.65
19.99,0.01,125,4944.93
19.99,0.01,130,4939.75
19.99,0.01,135,4941.46
19.98,0.01,140,4943.98
19.99,0.01,145,4936.87
19.98,0.01,150,4938.09
19.98,0.01,155,4941.17
19.99,0.01,160,4944.34
19.99,0.01,165,4943.43
19.99,0.01,170,4941.49
19.98,0.01,175,4941.27
19.99,0.01,180,4938.81
19.99,0.01,185,4941.37
19.99,0.01,190,4939.18
19.98,0.01,195,4941.25
19.99,0.01,200,4943.9
19.99,0.01,205,4940.36
19.99,0.01,210,4942.01
19.99,0.01,215,4938.77
19.98,0.01,220,4940.86
19.99,0.01,225,4943.36
19.99,0.01,230,4942.8
19.99,0.01,235,4940.54
19.99,0.01,240,4939.05
19.98,0.015,0,4943.88
19.99,0.015,5,4942.86
19.99,0.015,10,4940.84
19.99,0.015,15,4940.34
19.99,0.015,20,4945.64
19.99,0.015,25,4943.82
19.99,0.015,30,4938.04
19.99,0.015,35,4942.05
19.99,0.015,40,4942.23
19.98,0.015,45,4940.4
19.99,0.015,50,4941.47
19.98,0.015,55,4940.22
19.99,0.015,60,4943.09
19.99,0.015,65,4942.93
19.98,0.015,70,4943.85
19.98,0.015,75,4942.41
19.99,0.015,78,4942.77
19.99,0.015,81,4943.65
19.99,0.015,84,4945.02
19.98,0.015,86,4940.42
19.98,0.015,88,4940.77
19.98,0.015,90,4941.75
19.99,0.015,92,4942.1
19.98,0.015,94,4938.63
19.98,0.015,96,4939.01
