I_A,Bz_bore_uniform_T,Bz_bore_TA_T,SCIF_dBz_mT,SCIF_pct,n_iters,time_s,uniformity_ptp_pct,uniformity_mean_B_T
150.0,-5.712159,-5.605516,106.6427,1866.9426,-1,9.2,0.6282,5.613722
175.0,-6.664185,-6.537574,126.611,1899.8729,-1,8.6,0.6282,6.547145
200.0,-7.616212,-7.467006,149.2059,1959.0567,-1,8.8,0.6282,7.477937
225.0,-8.568238,-8.400683,167.5551,1955.5374,-1,11.3,0.6282,8.412981
250.0,-9.520265,-9.334011,186.2532,1956.3867,-1,10.2,0.6282,9.347676
275.0,-10.472291,-10.268128,204.1634,1949.5578,-1,16.3,0.6282,10.28316
300.0,-11.424317,-11.201183,223.1346,1953.1544,-1,10.5,0.6282,11.217581
325.0,-12.376344,-12.133777,242.5674,1959.9276,-1,11.8,0.6282,12.15154
350.0,-13.32837,-13.068659,259.7116,1948.562,-1,13.5,0.6282,13.087791
375.0,-14.280397,-14.001845,278.5521,1950.5907,-1,40.5,0.6282,14.022343
400.0,-15.232423,-14.945321,287.1027,1884.813,-1,21.5,0.6282,14.9672
