==============================================================================
NI closure stability probe: I=32.67 A, dt=100 s, 250 iterations
NI_RELAX=0.1  rho_c=100.0 uOhm.cm2  reorder=False  EP_FACTOR_MODE=paper
==============================================================================
  [transient] NOTE 10/48 radial bins contain no coil cells (mesh coarser than the binning) — they carry no E_p/E_i average and simply follow the transport current
  [induction] bin inductance built: L_total = 423.27 mH (circuit/ reference 419.7 mH — the coarse 8-bin/layer grouping will read a few % high)
/home/gerrityjack/fenicsx/Racetrack-Coil-Optimization/physics/ic_model.py:381: UserWarning: Using column '𝘯-value' as n-value column.
  warnings.warn(f"Using column '{candidates[0]}' as n-value column.")

   k  phase   I_z_min   I_z_max  I_r_mean  clip    SCIF_mT
   0    frz    32.667    32.667    0.0000     0    2969.84
   5    frz    32.667    32.667    0.0000     0    -857.30
  10    frz    32.667    32.667    0.0000     0     365.93
  15    frz    32.667    32.667    0.0000     0     498.28
  20    frz    32.667    32.667    0.0000     0     368.25
  25    frz    32.667    32.667    0.0000     0     450.77
  28    frz    32.667    32.667    0.0000     0     187.48
  29    frz    32.667    32.667    0.0000     0     223.55
  30  close    27.767    34.300    4.3587    48     598.47
  31  close    23.357    35.770    8.0090    48     346.12
  32  close    19.388    37.093   10.8401    48     586.19
  33  close    15.816    38.284   11.1244    48     476.47
  34  close    12.601    39.355   10.3848    48     324.06
  35  close     9.707    40.320    9.6635    41    1185.41
  40  close     3.330    41.596    4.8263    48     528.11
  45  close     7.758    38.617    6.2320    48     786.38
  50  close    -2.108    41.743   20.5052    48    1180.94
  55  close    -7.933    44.715   22.3896    48    1177.46
  60  close    -6.683    33.486   19.9668    48     663.17
  65  close    -6.349    35.018   24.7037    48    1164.36
  70  close     1.709    29.071   20.4216    48    1533.10
  75  close    -2.140    30.874   14.2133    48     798.83
  80  close    -2.516    27.657   20.1443    48    1806.79
  85  close    -4.388    28.937   20.1291    48     943.72
  90  close     4.617    31.456    9.6186    48     785.46
  95  close     1.330    38.641    2.3259    48     622.56
 100  close     6.510    41.725    6.9425    48     445.82
 105  close     7.975    44.691   12.1942    48    1575.33
 110  close     6.610    28.750   16.6313    48    1334.49
 115  close    -2.786    37.043   24.3435    48    1394.66
 120  close    -7.673    35.406   16.5533    48    1087.51
 125  close   -11.098    37.096   14.6979    48    1387.19
 130  close    -6.709    41.971    6.8246    48    1594.51
 135  close     7.055    39.168    7.5043    48     727.30
 140  close     2.086    37.640   13.7356    48     876.97
 145  close     6.774    42.292    7.6191    48     265.70
 150  close    -2.689    32.626   19.9577    48     269.48
 155  close    -8.276    33.509   29.5289    48    1664.62
 160  close   -10.651    39.853   22.6615    48    1928.06
 165  close   -12.978    37.065   15.2072    48    1213.01
 170  close   -14.352    35.649   25.7705    48    1103.70
 175  close    -7.070    26.026   26.2789    48    1316.13
 180  close    -7.221    31.784   27.2136    48    1589.63
 185  close    -7.961    27.662   23.6385    48    1786.29
 190  close    -6.627    36.400   12.4734    48    1240.90
 195  close   -10.602    38.219    6.4648    48    1144.82
 200  close     9.519    38.477    7.0336    48    1358.83
 205  close    10.758    42.786    2.5492    48     833.83
 210  close    11.598    45.331   -2.7820    48     279.11
 215  close     6.693    45.388    7.3138    48     798.04
 220  close     6.736    37.030   11.9885    48     538.66
 225  close    -2.711    29.135   21.2006    48    1065.06
 230  close    -5.361    31.529   30.6980    48    1952.31
 235  close    -4.067    38.684   15.7330    48    1180.17
 240  close     8.615    42.908    4.3258    48     945.41
 241  close     6.120    43.518    6.8438    48     739.73
 242  close     3.875    44.066    9.5188    48    1203.20
 243  close     1.854    44.559   12.1080    48     699.42
 244  close     6.569    45.003    9.6235    48     991.66
 245  close     4.278    40.239    8.6214    48     792.93
 246  close     2.217    41.115    8.3554    48     865.04
 247  close     0.362    35.371   11.8786    48     358.45
 248  close    -1.307    30.597   15.0495    48     920.41
 249  close    -2.810    32.437   15.8705    48     960.91

done (no divergence to NaN within budget -- but no convergence either, see docstring)
