==============================================================================
Step-1 Picard diagnostic: I=32.67 A, dt=100 s, 250 iterations (well past both prior caps)
==============================================================================
  [transient] NOTE 10/48 radial bins contain no coil cells (mesh coarser than the binning) — they carry no E_p/E_i average and simply follow the transport current
  [induction] bin inductance built: L_total = 423.27 mH (circuit/ reference 419.7 mH — the coarse 8-bin/layer grouping will read a few % high)
/home/gerrityjack/fenicsx/Racetrack-Coil-Optimization/physics/ic_model.py:381: UserWarning: Using column '𝘯-value' as n-value column.
  warnings.warn(f"Using column '{candidates[0]}' as n-value column.")
warmup = 30 iterations, NI_RELAX = 0.1, EP_FACTOR_MODE = paper

   k  phase   I_z_min   I_z_max  I_r_mean  clip    SCIF_mT  j/jc_mean
   0    frz    32.667    32.667    0.0000     0    2969.83          -
   5    frz    32.667    32.667    0.0000     0    -857.78          -
  10    frz    32.667    32.667    0.0000     0     393.75          -
  15    frz    32.667    32.667    0.0000     0     459.94          -
  20    frz    32.667    32.667    0.0000     0     320.58          -
  25    frz    32.667    32.667    0.0000     0     534.47          -
  28    frz    32.667    32.667    0.0000     0     296.25          -
  29    frz    32.667    32.667    0.0000     0     329.00          -
  30  close    27.767    34.300    2.1924    27     557.50          -
  31  close    23.357    35.770    3.9844    30     505.49          -
  32  close    19.388    37.093    5.8324    29     588.41          -
  33  close    15.816    38.284    6.8483    29     490.27          -
  34  close    12.601    39.355    7.8670    25     201.95          -
  35  close     9.707    40.320    8.4266    25     469.24          -
  40  close     4.335    43.874   11.6765    25     778.37          -
  45  close     2.826    37.998   13.9102    29     856.36          -
  50  close    -0.316    35.674   13.6661    19     622.14          -
  55  close    -3.672    40.000   13.5337    27    1066.72          -
  60  close    -7.681    40.750   13.8467    24     639.73          -
  65  close    -3.458    40.280   15.2572    26     726.40          -
  70  close    -3.618    40.096   15.6189    26     906.33          -
  75  close    -8.825    39.789   15.9652    21    1058.33          -
  80  close    -0.799    42.825   10.6469    24     934.51          -
  85  close    -1.372    38.994   15.8216    17     908.72          -
  90  close    -6.297    39.190   12.5899    30     944.91          -
  95  close    -8.928    34.918   14.4308    26     801.26          -
 100  close   -11.961    35.619   14.1242    20     892.84          -
 105  close    -6.073    40.975   14.6573    28     816.24          -
 110  close    -5.587    40.391   12.8439    27    1040.95          -
 115  close    -8.222    41.329   13.7838    24    1137.92          -
 120  close   -11.075    37.137   14.3506    31     774.40          -
 125  close    -5.463    40.433   14.3750    22     499.41          -
 130  close    -7.514    43.941   15.8326    22    1208.07          -
 135  close    -5.006    45.539   14.8252    28     621.61          -
 140  close    -0.135    44.268   13.4602    27     834.75          -
 145  close    -2.380    40.842   14.7357    23     583.08          -
 150  close     2.558    44.183    8.7925    29     748.83          -
 155  close     1.024    43.177    8.7523    19     704.57          -
 160  close    -6.084    45.561   14.2556    27     450.52          -
 165  close    -4.141    40.409   12.8414    22     537.97          -
 170  close     2.658    42.172   13.0319    25     638.76          -
 175  close    -0.067    38.435   14.8386    31     716.51          -
 180  close    -1.170    38.166   13.6365    21     934.56          -
 185  close    -7.379    38.316   14.7769    27     906.67          -
 190  close    -8.540    40.597   13.0598    28     377.67          -
 195  close   -11.732    38.089   13.4863    29     479.65          -
 200  close   -12.190    38.804   15.8860    27     968.39          -
 205  close    -8.982    41.059   18.5959    21    1201.98          -
 210  close    -8.005    41.107   17.0695    18    1304.31          -
 215  close    -4.933    42.710   16.3076    25    1119.27          -
 220  close    -0.984    41.303   14.0454    29     917.36          -
 225  close    -7.270    39.334   17.1902    25    1088.84          -
 230  close    -5.286    37.107   14.8886    23    1196.61          -
 235  close    -2.547    40.713   12.2365    24    1215.92          -
 240  close    -2.256    43.288   17.7969    23     934.07          -
 241  close    -0.228    43.859   18.0689    20    1077.59          -
 242  close    -0.062    44.373   18.0627    26    1140.78          -
 243  close    -1.689    44.836   17.6557    25    1254.21          -
 244  close    -3.154    45.252   16.8906    29    1184.12          -
 245  close    -3.417    45.627   16.1091    29    1275.87          -
 246  close    -4.709    45.964   15.3999    29     893.54          -
 247  close    -5.871    46.268   14.8887    26    1374.49          -
 248  close    -6.439    45.645   14.7727    25    1502.31          -
 249  close    -2.765    43.679   14.3889    26    1148.87          -

done (no divergence to NaN within budget)
