==============================================================================
Step-1 Picard diagnostic: I=32.67 A, dt=100 s, 250 iterations (well past both prior caps)
==============================================================================
  [transient] NOTE 10/48 radial bins contain no coil cells (mesh coarser than the binning) — they carry no E_p/E_i average and simply follow the transport current
  [induction] bin inductance built: L_total = 423.27 mH (circuit/ reference 419.7 mH — the coarse 8-bin/layer grouping will read a few % high)
/home/gerrityjack/fenicsx/Racetrack-Coil-Optimization/physics/ic_model.py:381: UserWarning: Using column '𝘯-value' as n-value column.
  warnings.warn(f"Using column '{candidates[0]}' as n-value column.")
warmup = 30 iterations, NI_RELAX = 0.02, EP_FACTOR_MODE = paper

   k  phase   I_z_min   I_z_max  I_r_mean  clip    SCIF_mT  j/jc_mean
   0    frz    32.667    32.667    0.0000     0    2969.72          -
   5    frz    32.667    32.667    0.0000     0    -858.11          -
  10    frz    32.667    32.667    0.0000     0     417.69          -
  15    frz    32.667    32.667    0.0000     0     366.18          -
  20    frz    32.667    32.667    0.0000     0     179.71          -
  25    frz    32.667    32.667    0.0000     0     274.19          -
  28    frz    32.667    32.667    0.0000     0     163.77          -
  29    frz    32.667    32.667    0.0000     0     338.13          -
  30  close    31.687    32.993    0.2519    23     558.42          -
  31  close    30.726    33.313    0.4142    26     280.06          -
  32  close    29.785    33.627    0.6171    28     482.78          -
  33  close    28.863    33.935    0.8428    30     318.14          -
  34  close    27.959    34.236    1.0469    26     172.66          -
  35  close    27.073    34.531    1.2525    19      83.95          -
  40  close    24.379    35.342    2.0110    19     133.04          -
  45  close    20.467    35.833    2.8757    28     331.63          -
  50  close    18.610    36.477    3.9983    22     590.99          -
  55  close    17.860    36.798    5.1489    23     326.69          -
  60  close    15.417    34.889    6.4963    29     577.51          -
  65  close    15.180    36.245    7.0505    18     684.25          -
  70  close    16.629    36.761    6.8703    27     573.47          -
  75  close    15.057    37.718    7.6865    24     546.74          -
  80  close    16.420    38.721    7.6643    17    -270.58          -
  85  close    13.286    38.583    8.2931    24     257.06          -
  90  close    10.441    35.991    8.9255    22     -10.74          -
  95  close     8.922    31.958    9.6076    22     360.12          -
 100  close     6.786    33.444   11.2324    28     541.57          -
 105  close     7.152    32.963   12.1282    26     790.60          -
 110  close    11.014    33.575   11.3958    24    1089.01          -
 115  close    11.637    32.018   10.5764    21     516.93          -
 120  close    11.588    31.866   10.5601    18     822.11          -
 125  close    14.412    31.436   10.1055    29     645.61          -
 130  close    16.245    31.817    9.4306    22     910.71          -
 135  close    13.115    31.180   10.4297    28     575.83          -
 140  close    11.592    32.892   11.1162    23     491.37          -
 145  close    12.122    31.642   10.9606    19     722.25          -
 150  close    10.197    31.977   10.9653    27     158.42          -
 155  close     8.286    30.077   12.1235    26     764.94          -
 160  close    12.198    30.088   11.9353    29     471.41          -
 165  close    14.195    30.090   11.4554    27     512.69          -
 170  close    13.139    30.099   12.8641    19     852.16          -
 175  close    10.779    30.115   13.3615    24    1139.46          -
 180  close     8.727    30.133   13.6087    19    1026.17          -
 185  close     8.432    30.153   13.9233    26    1269.82          -
 190  close     6.881    30.175   13.8541    29     822.72          -
 195  close     7.238    30.196   13.9199    21     880.33          -
 200  close     8.444    30.388   14.3182    31     750.39          -
 205  close     6.064    30.557   14.4818    26    1287.55          -
 210  close     4.728    30.516   14.0568    23     902.10          -
 215  close     3.117    31.062   13.8345    26     817.18          -
 220  close     1.249    32.786   14.2926    24    1029.00          -
 225  close     0.698    33.993   14.0642    27     988.72          -
 230  close    -0.939    32.847   14.3035    22    1147.14          -
 235  close    -2.418    30.612   14.0817    20    1066.77          -
 240  close    -3.257    30.409   13.6412    22     557.35          -
 241  close    -2.212    30.403   13.5206    19    1045.54          -
 242  close    -1.188    30.395   13.5357    26     897.60          -
 243  close    -0.184    30.387   13.5669    29     641.89          -
 244  close     0.799    30.380   13.4160    25     963.99          -
 245  close     1.460    30.372   13.5178    24     878.22          -
 246  close     2.037    30.365   13.6899    18    1008.80          -
 247  close     2.977    30.358   13.7297    17     886.80          -
 248  close     3.897    30.351   13.5083    25     930.75          -
 249  close     4.799    30.345   13.2988    26     978.72          -

done (no divergence to NaN within budget)
