==============================================================================
Step-1 Picard diagnostic: I=32.67 A, dt=100 s, 250 iterations (well past both prior caps)
==============================================================================
  [transient] NOTE 10/48 radial bins contain no coil cells (mesh coarser than the binning) — they carry no E_p/E_i average and simply follow the transport current
  [induction] bin inductance built: L_total = 423.27 mH (circuit/ reference 419.7 mH — the coarse 8-bin/layer grouping will read a few % high)
rho_ct = 2000.0 uOhm.cm2
/home/gerrityjack/fenicsx/Racetrack-Coil-Optimization/physics/ic_model.py:381: UserWarning: Using column '𝘯-value' as n-value column.
  warnings.warn(f"Using column '{candidates[0]}' as n-value column.")
warmup = 30 iterations, NI_RELAX = 0.1, EP_FACTOR_MODE = paper

   k  phase   I_z_min   I_z_max  I_r_mean  clip    SCIF_mT  j/jc_mean
   0    frz    32.667    32.667    0.0000     0    2969.71          -
   5    frz    32.667    32.667    0.0000     0    -858.06          -
  10    frz    32.667    32.667    0.0000     0     417.27          -
  15    frz    32.667    32.667    0.0000     0     428.97          -
  20    frz    32.667    32.667    0.0000     0     158.71          -
  25    frz    32.667    32.667    0.0000     0     264.70          -
  28    frz    32.667    32.667    0.0000     0     306.11          -
  29    frz    32.667    32.667    0.0000     0     405.25          -
  30  close    27.767    34.300    0.9664    14     353.52          -
  31  close    23.357    35.770    2.1262    23     169.90          -
  32  close    19.388    37.093    2.9991    23     348.64          -
  33  close    15.816    38.284    3.9714    20     210.28          -
  34  close    12.601    39.355    4.2598    14     333.03          -
  35  close     9.707    40.320    4.7193    15      22.03          -
  40  close    -0.957    43.874    7.6364    17    -162.36          -
  45  close     2.270    43.846   13.4900    27     909.32          -
  50  close    -2.772    45.957   14.2175    21     999.40          -
  55  close    -2.258    43.117   13.5614    24     958.29          -
  60  close    -6.528    37.759   12.1316    18    1180.43          -
  65  close    -8.188    39.998   14.3280    16     791.99          -
  70  close    -5.385    43.684   13.8745    26     841.84          -
  75  close    -4.546    38.749   11.5554    21     884.55          -
  80  close    -2.533    38.313   12.9942    12     652.94          -
  85  close    -3.700    39.097   14.8795    19     566.71          -
  90  close     2.210    38.001   14.1146    17    1008.68          -
  95  close    -4.829    39.033   13.2798    20     721.23          -
 100  close    -6.246    37.860   13.5920    20    1449.47          -
 105  close     2.961    40.905   10.8911    10     908.18          -
 110  close    -1.617    37.561   11.7602    25     815.30          -
 115  close     4.116    39.828   10.7548    10     463.55          -
 120  close    -0.959    42.641   14.4546    25     906.85          -
 125  close     7.098    43.152    9.7131    23    1178.12          -
 130  close     5.499    42.785    7.5692    11     529.07          -
 135  close     3.195    42.331   13.0081    25    1069.17          -
 140  close     5.389    40.027    9.0828    17     700.25          -
 145  close     7.013    43.701    8.3679    26     679.49          -
 150  close     1.195    44.553    9.5254    24    1017.05          -
 155  close    -1.795    45.040   11.7165    14     709.45          -
 160  close     0.552    46.662    9.9101    18     807.92          -
 165  close    -4.077    44.725   10.9903    19     875.37          -
 170  close    -0.249    34.710   13.5416    16     913.78          -
 175  close     0.066    36.601   12.7445    11     984.02          -
 180  close    -4.678    41.671   11.2099    23     657.09          -
 185  close    -5.230    38.408   13.8135    23    1027.65          -
 190  close     0.814    41.889   11.0284    16     407.40          -
 195  close    -0.266    42.116    6.7238    15     791.67          -
 200  close     1.935    39.375    9.5670    24     977.71          -
 205  close    -0.084    42.445    9.5452    15     871.07          -
 210  close     4.039    38.602   10.6717    14     593.34          -
 215  close    -1.203    41.228   10.9101    14     656.85          -
 220  close    -5.425    44.411   10.6555    22     611.85          -
 225  close    -3.764    43.249   11.9058    20     738.10          -
 230  close     6.711    37.994    8.5875    25     295.36          -
 235  close    10.501    40.725    9.5068    15     741.00          -
 240  close     3.206    38.068   12.1551    22     617.10          -
 241  close     1.959    38.937   12.4031    25     572.00          -
 242  close     0.129    39.944   12.9583    21     716.06          -
 243  close    -1.517    40.849   13.0514    18     640.08          -
 244  close    -2.999    41.664   12.7547    15    1156.87          -
 245  close    -4.332    41.496   12.0186    18    1151.53          -
 246  close    -3.941    40.608   11.2954    22     900.57          -
 247  close    -0.815    39.804   10.2375    21     907.55          -
 248  close    -2.367    40.605    9.7460    16     767.13          -
 249  close    -0.473    41.444    9.0977    13    1056.41          -

done (no divergence to NaN within budget)
