  [transient] NOTE 10/48 radial bins contain no coil cells (mesh coarser than the binning) — they carry no E_p/E_i average and simply follow the transport current
  [induction] bin inductance built: L_total = 423.27 mH (circuit/ reference 419.7 mH — the coarse 8-bin/layer grouping will read a few % high)
/home/gerrityjack/fenicsx/Racetrack-Coil-Optimization/physics/ic_model.py:381: UserWarning: Using column '𝘯-value' as n-value column.
  warnings.warn(f"Using column '{candidates[0]}' as n-value column.")
REORDERED closure (post-physics), NI_RELAX=0.1, warmup=30

   k  phase   I_z_min   I_z_max  I_r_mean  clip    SCIF_mT
   0    frz    32.667    32.667    0.0000     0    2969.67
   5    frz    32.667    32.667    0.0000     0    -856.93
  10    frz    32.667    32.667    0.0000     0     400.32
  15    frz    32.667    32.667    0.0000     0     471.97
  20    frz    32.667    32.667    0.0000     0     150.19
  25    frz    32.667    32.667    0.0000     0     376.30
  28    frz    32.667    32.667    0.0000     0    -215.65
  29    frz    32.667    32.667    0.0000     0     268.70
  30  close    27.767    34.300    0.7448    26     400.15
  31  close    23.357    35.770    1.2688    27     178.59
  32  close    19.388    37.093    2.6229    23     270.65
  33  close    15.816    38.284    3.6269    14     257.57
  34  close    12.601    39.355    4.7240    17     179.44
  35  close     9.707    40.320    6.8066    31     427.78
  40  close     3.370    42.749   12.6179    21     606.79
  45  close     1.420    38.776   12.1514    28     358.72
  50  close    -3.791    42.960    9.9642    25     547.40
  55  close    -5.716    45.360   13.8018    30     465.00
  60  close    -3.281    44.928   13.0717    26    1002.58
  65  close     1.749    43.304   14.2265    18     862.72
  70  close    -0.258    45.636   10.8897    20     944.36
  75  close    -2.060    47.014    9.2644    21     507.95
  80  close    -1.348    45.427    7.5456    26     632.03
  85  close     8.872    39.436    7.0887    18     688.54
  90  close    10.754    40.631    7.1310    23     402.33
  95  close     1.115    39.712    8.1390    20     728.10
 100  close     2.469    38.158   12.1534    25     595.52
 105  close    -2.768    42.279   11.6455    30     959.03
 110  close    -8.323    37.630   12.4362    22     728.05
 115  close     1.539    34.390   12.5744    19     495.23
 120  close    -2.630    39.939   11.7269    27    1038.34
 125  close    -4.198    39.208   11.3236    22     873.83
 130  close    -5.294    43.218   13.3774    22     967.85
 135  close    -9.815    40.294   12.4559    27     710.67
 140  close     0.094    43.859   10.5450    23     962.01
 145  close    -6.633    45.964   11.8708    29     616.23
 150  close    -4.992    45.669    9.8786    18     725.15
 155  close    -9.636    40.733   13.3473    22     802.51
 160  close    -8.086    36.725   16.1649    24     685.95
 165  close    -6.564    40.621   16.5234    28     947.33
 170  close   -10.565    39.630   15.8698    22     944.65
 175  close    -5.163    38.076   10.9327    20     505.68
 180  close     9.325    41.757    9.3483    25     750.21
 185  close    -0.550    42.629   14.5295    28      90.56
 190  close    -3.068    45.238   10.7767    28     503.50
 191  close     0.249    45.614    9.7112    28     878.01
 192  close    -1.410    43.841    9.9657    26     664.23
 193  close    -2.902    40.967   10.7615    23     545.13
 194  close    -4.245    39.707   12.6817    21    1033.79
 195  close    -5.454    40.636   14.4143    25     930.61
 196  close    -6.542    41.473   15.9137    30     748.52
 197  close    -7.521    42.225   16.5097    27     774.32
 198  close    -4.401    42.650   15.6677    23     795.99
 199  close    -4.953    43.285   14.2036    30     712.87

done
