I_A,Bz_bore_uniform_T,Bz_bore_TA_T,SCIF_dBz_mT,SCIF_pct,n_iters,time_s
150.0,-8.824552,-8.210054,614.498,6.9635,84,407.2
175.0,-10.29531,-9.663752,631.5579,6.1344,44,158.7
200.0,-11.766069,-11.123116,642.9534,5.4645,41,102.2
225.0,-13.236828,-12.580859,655.9682,4.9556,41,111.8
250.0,-14.707586,-14.040826,666.7606,4.5334,45,97.6
275.0,-16.178345,-15.509614,668.7307,4.1335,42,128.7
300.0,-17.649103,-16.993036,656.067,3.7173,42,125.1
325.0,-19.119862,-18.487988,631.8745,3.3048,45,95.3
350.0,-20.590621,-19.989882,600.7391,2.9175,41,102.3
375.0,-22.061379,-21.495387,565.9927,2.5655,44,129.2
400.0,-23.532138,-23.003691,528.447,2.2456,39,79.3
